,0
0,1.157107270133962e-18
1,1.157107270133962e-18
2,1.1571072701277087e-18
3,1.4252845315514638e-18
4,1.1567828004318213e-18
5,1.2035425534780212e-18
6,1.1739316880180956e-18
7,1.1986373759096826e-18
8,9.878927364693509e-19
9,1.342027706217393e-18
10,9.448618557041458e-19
11,1.0979287270556085e-18
12,1.058858894949351e-18
13,9.094384318234944e-19
14,1.1738795421982003e-18
15,8.500404302405646e-19
16,1.0042583132912377e-18
17,8.166000603039593e-19
18,1.053472175093408e-18
19,7.932503076962392e-19
20,8.220184195573782e-19
21,8.950685988709235e-19
22,7.920600593230917e-19
23,7.2319083428875275e-19
24,8.285138490282377e-19
25,7.172174973957929e-19
26,6.450683132721709e-19
27,7.949016666510815e-19
28,5.445997615756834e-19
29,7.483577182698906e-19
30,5.088681817819515e-19
31,6.837147259799475e-19
32,4.814023820959039e-19
33,5.970321137921104e-19
34,4.967110752989682e-19
35,4.818396369014362e-19
36,4.788106300214654e-19
37,4.444146252564321e-19
38,4.285082090130158e-19
39,3.881100814703897e-19
40,3.780537271552328e-19
41,3.6910218917701064e-19
42,3.5283893554596373e-19
43,3.4475344413884123e-19
44,2.8524331005039567e-19
45,3.2680394974437307e-19
46,2.742761839775595e-19
47,3.272256210985817e-19
48,2.7027059141677413e-19
49,2.3150860382386366e-19
50,2.6316482300195e-19
51,2.259962211852367e-19
52,2.2049867325259674e-19
53,4.1228623939507532e-19
54,-3.003248916731416e-19
55,3.5351939583151417e-19
56,1.7333245417960043e-19
57,2.4660167150628305e-19
58,1.695335546535961e-19
59,1.6932167179477777e-19
60,1.979133268220818e-19
61,1.7972375702148122e-19
62,1.5376504762186778e-19
63,2.1461273223460805e-19
64,2.2873657566323113e-20
65,2.462093420091981e-19
66,1.3945780646919247e-19
67,1.3316253804282876e-19
68,1.6232443222989667e-19
69,1.0097697395277222e-19
70,2.2721028887791707e-19
71,-2.5764268498682895e-20
72,2.197877748908406e-19
73,5.964221174742845e-20
74,1.6737820469599066e-19
75,1.2891316791714197e-19
76,3.9662052127871317e-20
77,3.5746435979218066e-19
78,-3.640622812283496e-19
79,4.0286905971311815e-19
80,4.288159187635577e-20
81,1.4067705227244675e-19
82,8.089602734500886e-21
83,1.8441368838771544e-19
84,4.6904174354797865e-20
85,5.063913509976527e-20
86,1.4087277884849411e-19
87,4.7173126609013937e-20
88,7.334353154712649e-20
89,2.7646472059039164e-20
90,1.404763909673504e-19
91,2.2226266715554713e-20
92,1.2267276580764067e-19
93,2.0264740810757266e-20
94,1.0808499154781337e-19
95,3.5762519880706544e-20
96,4.5333618057562403e-20
97,1.2885895001937367e-19
98,-4.227947187246985e-20
99,9.026621129782545e-20
100,4.304910347316583e-20
101,6.242069347548483e-20
102,3.620722898094247e-20
103,5.577933071081816e-20
104,4.15497755685406e-20
105,4.6996991472524473e-20
106,3.9193691920351444e-20
107,4.340980315076353e-20
108,4.18088704894636e-20
109,3.804828407893517e-20
110,4.312252185466005e-20
111,3.1034663408199843e-20
112,5.650742618532504e-20
113,1.2336468438037386e-20
114,4.517052834398974e-20
115,2.824144697132244e-20
116,5.641745876480497e-20
117,-2.2951202314201627e-20
118,3.4760937089654556e-19
119,-3.771596206874228e-19
120,4.1151260134586144e-19
121,-7.758305262320112e-20
122,5.0313764108159296e-20
123,2.14834944867627e-20
124,2.94400017209524e-20
125,2.6293269476663205e-20
126,2.632045916207009e-20
127,2.569003733566656e-20
128,2.482928978576153e-20
129,2.4447609223453133e-20
130,2.3750418813751535e-20
131,2.3152604278357187e-20
132,2.2638200656375993e-20
133,2.186941973565325e-20
134,2.139733469337542e-20
135,2.0814110727304676e-20
136,2.0377272894625876e-20
137,1.9909176725950412e-20
138,1.948697127093824e-20
139,1.8980108414088714e-20
140,1.8637995542062132e-20
141,1.8127429928888872e-20
142,1.7796034620554e-20
143,1.7374698758184806e-20
144,1.7058154049660593e-20
145,1.657816395227747e-20
146,1.678650997673014e-20
147,1.4663864659283884e-20
148,2.0345796232296577e-20
149,-1.2043975748587348e-20
150,8.427641210910017e-20
151,-4.995140221253592e-19
152,1.183447069044521e-18
153,-2.683806161816814e-18
154,1.500645746069175e-18
155,-3.696869329294928e-19
156,1.062206712083788e-19
157,-2.1301970281777902e-20
158,2.0557505748167616e-20
159,9.546931068876111e-21
160,1.2911616243450706e-20
161,1.1913720945286061e-20
162,1.1931320844556802e-20
163,1.1666938843419701e-20
164,1.1489487033803035e-20
165,1.1254622841284151e-20
166,1.1067461734616362e-20
167,1.0880792010933179e-20
168,1.0703075277834514e-20
169,1.0535113444093e-20
170,1.0377841231466701e-20
171,1.0232209452593926e-20
172,1.0074461178340536e-20
173,9.979373108434173e-21
174,8.403818901059537e-21
175,1.0237882974255393e-20
176,9.533015090312585e-21
177,9.490389678806376e-21
178,9.439973317095821e-21
179,8.985658097218356e-21
180,1.0323270035739257e-20
181,4.692412227422568e-21
182,2.3974496301895584e-20
183,-5.930361384006256e-20
184,1.9522512722696487e-19
185,-1.1109973011973e-18
186,4.029217203866332e-18
187,-6.182465884962983e-18
188,3.534453677946254e-18
189,-9.82632997963493e-19
190,2.6515663492421785e-19
191,-6.877653855484575e-20
192,2.5277366831499336e-20
193,2.1280485729392713e-21
194,9.076922717183637e-21
195,7.014824315880566e-21
196,7.415259942291318e-21
197,7.189100606575668e-21
198,7.11414423657632e-21
199,7.01378374061826e-21
200,6.923889128653591e-21
201,6.834451831322175e-21
202,6.7569626434109265e-21
203,6.66859436632652e-21
204,6.590899417916301e-21
205,6.5198031778812934e-21
206,6.460183199075609e-21
207,6.3676994564564566e-21
208,6.392370943451311e-21
209,6.067652678685742e-21
210,7.169112987984617e-21
211,2.334049312057262e-21
212,1.9563197209497505e-20
213,-4.784526468637959e-20
214,2.0228542710500015e-19
215,-6.319153843347688e-19
216,2.256415544335018e-18
217,-4.113599688426976e-18
218,2.217729934443984e-18
219,-6.315873376263992e-19
220,2.4776500521859654e-19
221,-4.83010205927502e-20
222,1.803060468404489e-20
223,2.2406400638458153e-21
224,5.766128077087753e-21
225,4.602888249940975e-21
226,4.8621369179125734e-21
227,4.645107004748592e-21
228,4.90780900471735e-21
229,3.78255141793731e-21
230,7.636832850823282e-21
231,-5.438301355548892e-21
232,4.3136029677634966e-20
233,-1.25603358600976e-19
234,4.234027734901759e-19
235,-6.628731340385807e-19
236,4.66807194236039e-19
237,-9.643947927049211e-20
238,2.6656387399774795e-20
239,2.5913994242251435e-21
240,-1.0430237336893327e-20
241,4.1687220454391473e-20
242,-7.410574871121598e-20
243,1.5810851508909935e-17
244,4.085039574602313e-21
245,1.7079449195895347e-21
246,5.921375748233335e-22
247,4.0390318320999837e-22
248,1.002920344079356e-22
249,2.0786580686027017e-23
250,1.6490893124726146e-23
251,1.426088147651118e-23
252,1.366350078155798e-23
253,1.366350078155805e-23
