t(s), a, T (MeV), Tnu (MeV), photons, baryons, rho_{{nu}_{vs}}, drho_{{nu}_{vs}}, phi (GeV^4), rho_vs(MeV^4), sigma_rad (MeV^4), Y(n), Y(p), Y(2H), Y(3H), Y(3He), Y(4He), Y(6Li), Y(7Li), Y(7Be), eta
1.00001e-10,8.00000e-11,1.48737e+01,1.48737e+01,3.22017e-08,1.25245e-15,8.45454e-08,2.27264e-05,0.00000e+00,3.13688e+04,1.60107e-22,4.78274e-01,5.21726e-01,7.88751e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
2.00001e-10,8.00000e-11,1.48737e+01,1.48737e+01,3.22017e-08,1.25245e-15,8.45454e-08,2.27264e-05,0.00000e+00,3.13688e+04,3.20214e-22,4.78274e-01,5.21726e-01,7.88751e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
3.50001e-10,8.00000e-11,1.48736e+01,1.48736e+01,3.22017e-08,1.25245e-15,8.45454e-08,2.27264e-05,0.00000e+00,3.13688e+04,5.60373e-22,4.78274e-01,5.21726e-01,7.88751e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
5.75001e-10,8.00000e-11,1.48736e+01,1.48736e+01,3.22017e-08,1.25245e-15,8.45454e-08,2.27264e-05,0.00000e+00,3.13688e+04,9.20610e-22,4.78274e-01,5.21726e-01,7.88751e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
9.12501e-10,8.00000e-11,1.48736e+01,1.48736e+01,3.22017e-08,1.25245e-15,8.45454e-08,2.27264e-05,0.00000e+00,3.13688e+04,1.46096e-21,4.78274e-01,5.21726e-01,7.88751e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
1.41875e-09,8.00000e-11,1.48736e+01,1.48736e+01,3.22017e-08,1.25245e-15,8.45453e-08,2.27264e-05,0.00000e+00,3.13687e+04,2.27148e-21,4.78274e-01,5.21726e-01,7.88751e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
2.17813e-09,8.00000e-11,1.48736e+01,1.48736e+01,3.22017e-08,1.25244e-15,8.45453e-08,2.27264e-05,0.00000e+00,3.13687e+04,3.48725e-21,4.78274e-01,5.21726e-01,7.88751e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
3.31719e-09,8.00000e-11,1.48736e+01,1.48736e+01,3.22016e-08,1.25244e-15,8.45452e-08,2.27264e-05,0.00000e+00,3.13687e+04,5.31085e-21,4.78274e-01,5.21726e-01,7.88752e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
5.02578e-09,8.00001e-11,1.48736e+01,1.48736e+01,3.22016e-08,1.25244e-15,8.45451e-08,2.27264e-05,0.00000e+00,3.13687e+04,8.04617e-21,4.78274e-01,5.21726e-01,7.88752e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
7.58867e-09,8.00001e-11,1.48736e+01,1.48736e+01,3.22015e-08,1.25244e-15,8.45450e-08,2.27263e-05,0.00000e+00,3.13686e+04,1.21490e-20,4.78274e-01,5.21726e-01,7.88753e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
1.14330e-08,8.00001e-11,1.48736e+01,1.48736e+01,3.22015e-08,1.25244e-15,8.45448e-08,2.27263e-05,0.00000e+00,3.13686e+04,1.83027e-20,4.78274e-01,5.21726e-01,7.88753e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
1.71995e-08,8.00002e-11,1.48736e+01,1.48736e+01,3.22013e-08,1.25244e-15,8.45445e-08,2.27262e-05,0.00000e+00,3.13685e+04,2.75322e-20,4.78274e-01,5.21726e-01,7.88755e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
2.58493e-08,8.00003e-11,1.48736e+01,1.48736e+01,3.22012e-08,1.25243e-15,8.45440e-08,2.27261e-05,0.00000e+00,3.13683e+04,4.13743e-20,4.78274e-01,5.21726e-01,7.88756e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
3.88239e-08,8.00005e-11,1.48736e+01,1.48736e+01,3.22009e-08,1.25242e-15,8.45433e-08,2.27260e-05,0.00000e+00,3.13681e+04,6.21322e-20,4.78274e-01,5.21726e-01,7.88759e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
5.82859e-08,8.00008e-11,1.48735e+01,1.48735e+01,3.22005e-08,1.25241e-15,8.45422e-08,2.27258e-05,0.00000e+00,3.13678e+04,9.32575e-20,4.78274e-01,5.21726e-01,7.88763e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
8.74788e-08,8.00011e-11,1.48734e+01,1.48734e+01,3.21999e-08,1.25239e-15,8.45406e-08,2.27255e-05,0.00000e+00,3.13673e+04,1.39920e-19,4.78274e-01,5.21726e-01,7.88769e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
1.31268e-07,8.00017e-11,1.48733e+01,1.48733e+01,3.21989e-08,1.25237e-15,8.45382e-08,2.27250e-05,0.00000e+00,3.13666e+04,2.09854e-19,4.78273e-01,5.21727e-01,7.88779e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
1.96952e-07,8.00026e-11,1.48732e+01,1.48732e+01,3.21976e-08,1.25233e-15,8.45346e-08,2.27243e-05,0.00000e+00,3.13655e+04,3.14624e-19,4.78273e-01,5.21727e-01,7.88793e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
2.95478e-07,8.00038e-11,1.48729e+01,1.48729e+01,3.21955e-08,1.25227e-15,8.45291e-08,2.27232e-05,0.00000e+00,3.13639e+04,4.71483e-19,4.78273e-01,5.21727e-01,7.88813e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
4.43268e-07,8.00058e-11,1.48726e+01,1.48726e+01,3.21924e-08,1.25217e-15,8.45210e-08,2.27216e-05,0.00000e+00,3.13615e+04,7.06106e-19,4.78272e-01,5.21728e-01,7.88845e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
6.64951e-07,8.00087e-11,1.48720e+01,1.48720e+01,3.21878e-08,1.25204e-15,8.45088e-08,2.27191e-05,0.00000e+00,3.13579e+04,1.05655e-18,4.78272e-01,5.21728e-01,7.88892e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
9.97477e-07,8.00130e-11,1.48712e+01,1.48712e+01,3.21808e-08,1.25184e-15,8.44905e-08,2.27155e-05,0.00000e+00,3.13525e+04,1.57886e-18,4.78270e-01,5.21730e-01,7.88962e-12,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.67753e-09
